Nombre,Femenino,Atributo,Data
avestruz,,,../BD/avestruz.mp4
avispa,,,../BD/avispa.mp4
ayer,,,../BD/ayer.mp4
ayudar,,,../BD/ayudar.mp4
azotea,,,../BD/azotea.mp4
azúcar,,,../BD/azúcar.mp4
azucarera,,,../BD/azucarera.mp4
azul,,,../BD/azul.mp4
b,,,../BD/b.mp4
bacardi,,,../BD/bacardi.mp4
bailar,,,../BD/bailar.mp4
bajar,,,../BD/bajar.mp4
bajo,,,../BD/bajo.mp4
balón,,,../BD/balón.mp4
bandera,,,../BD/bandera.mp4
baño,,,../BD/baño.mp4
barba,,,../BD/barba.mp4
barbilla,,,../BD/barbilla.mp4
barrer,,,../BD/barrer.mp4
barreras,,,../BD/barreras.mp4
basura,,,../BD/basura.mp4
batidora,,,../BD/batidora.mp4
bebé,,,../BD/bebé.mp4
becerro,,,../BD/becerro.mp4
berenjena,,,../BD/berenjena.mp4
besarse,,,../BD/besarse.mp4
betabel,,,../BD/betabel.mp4
bien,,,../BD/bien.mp4
bigote,,,../BD/bigote.mp4
bilinge,,,../BD/bilinge.mp4
bisabuelo,bisabuela,,../BD/bisabuelo.mp4
bisnieto,bisnieta,,../BD/bisnieto.mp4
bistec,,,../BD/bistec.mp4
blanco,,,../BD/blanco.mp4
boca,,,../BD/boca.mp4
boda,,,../BD/boda.mp4
bombero,,,../BD/bombero.mp4
bondad,,,../BD/bondad.mp4
bonito,,,../BD/bonito.mp4
borrego,,,../BD/borrego.mp4
brazo,,,../BD/brazo.mp4
breve,,,../BD/breve.mp4
brillante,,,../BD/brillante.mp4
bronce,,,../BD/bronce.mp4
bueno,,,../BD/bueno.mp4
buey,,,../BD/buey.mp4
burro,,,../BD/burro.mp4
buzón,,,../BD/buzón.mp4
c,,,../BD/c.mp4
caballero,,,../BD/caballero.mp4
caballo,,,../BD/caballo.mp4
cabra,,,../BD/cabra.mp4
cacahuate,,,../BD/cacahuate.mp4
cacerola,,,../BD/cacerola.mp4
cada,,,../BD/cada.mp4
cadera,,,../BD/cadera.mp4
café,,,../BD/café.mp4
cajón,,,../BD/cajón.mp4
calabacita,,,../BD/calabacita.mp4
calabaza,,,../BD/calabaza.mp4
calamar,,,../BD/calamar.mp4
calendario,,,../BD/calendario.mp4
calificación,,,../BD/calificación.mp4
caminar,,,../BD/caminar.mp4
camino,,,../BD/camino.mp4
chófer,,,../BD/chófer.mp4
co,,,../BD/co.mp4
comer,,,../BD/comer.mp4
como,,,../BD/como.mp4
compañero,compañera,,../BD/compañero.mp4
compromiso,,,../BD/compromiso.mp4
comunidad,,,../BD/comunidad.mp4
convivencia,,,../BD/convivencia.mp4
correr,,,../BD/correr.mp4
cuidar,,,../BD/cuidar.mp4
cultura,,,../BD/cultura.mp4
cumpleaños,,,../BD/cumpleaños.mp4
d,,,../BD/d.mp4
decidir,,,../BD/decidir.mp4
deletrear,,,../BD/deletrear.mp4
día,,,../BD/día.mp4
dibujar,,,../BD/dibujar.mp4
diciembre,,,../BD/diciembre.mp4
dolar,,,../BD/dolar.mp4
domingo,,,../BD/domingo.mp4
dona,,,../BD/dona.mp4
dos,,,../BD/dos.mp4
doscientos,,,../BD/doscientos.mp4
duda,,,../BD/duda.mp4
dueño,,,../BD/dueño.mp4
dulce,,,../BD/dulce.mp4
durango,,,../BD/durango.mp4
durazno,,,../BD/durazno.mp4
duro,,,../BD/duro.mp4
e,,,../BD/e.mp4
edificio,,,../BD/edificio.mp4
ejemplo,,,../BD/ejemplo.mp4
ejote,,,../BD/ejote.mp4
él,ella,,../BD/él.mp4
electricidad,,,../BD/electricidad.mp4
ellos,ellas,,../BD/ellos.mp4
elote,,,../BD/elote.mp4
empezar,,,../BD/empezar.mp4
en,,,../BD/en.mp4
